title	year	country	runtime
Goodbye to All That	1930	UK	9 min
Murder!	1930	UK	92 min
"20,000 Years in Sing Sing"	1932	USA	78 min
A Co-respondent's Course	1931	Australia	N/A
Goodbye Pork Pie	1980	New Zealand	90 min
The Thief of Bagdad	1940	"UK, USA"	106 min
Everybody Sing	1937	USA	N/A
Adventures of Don Quixote	1933	"UK, France"	73 min
"Wynken, Blynken & Nod"	1938	USA	8 min
The Candid Camera Story (Very Candid) of the Metro-Goldwyn-Mayer Pictures 1937 Convention	1937	USA	17 min
